"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"JAJHLMMC_02023" 14155.9536353983 6.41804551727541 0.0787332342529842 81.5163453930148 0 0
"JAJHLMMC_02021" 11800.0597516953 6.4210230915968 0.0788846100647024 81.3976653536118 0 0
"JAJHLMMC_00620" 110.221181629784 6.43995148410864 0.534838592995951 12.0409251846143 2.16513678777392e-33 6.57205237350845e-33
"JAJHLMMC_00624" 127.179201442428 6.47776231702466 0.503781004349196 12.858290132223 7.72669644992021e-38 2.50286589096576e-37
"JAJHLMMC_02819" 302.660557212254 6.57647784205783 0.340831503080795 19.2953931271396 5.87166896206959e-83 3.17997229577348e-82
"JAJHLMMC_02020" 5878.18061395446 6.64314997125342 0.0994054778063135 66.8288118306443 0 0
"JAJHLMMC_02822" 327.57228192709 6.69210343647585 0.3381222686256 19.7919630188154 3.49173581345688e-87 1.94918416928416e-86
"JAJHLMMC_03184" 3912.6459266007 6.96520085206419 0.122289656570055 56.956581999019 0 0
"JAJHLMMC_02019" 6791.12189365164 7.1353080624182 0.104827111147033 68.0673919594146 0 0
"JAJHLMMC_02821" 9709.45094342786 7.28733160809358 0.211996462546493 34.3747792796089 6.00657575412973e-259 9.22502455373059e-258
"JAJHLMMC_02818" 2346.79376850213 7.30598054252896 0.164029289938592 44.5407069997324 0 0
"JAJHLMMC_02017" 74313.6682664808 7.32648674673601 0.0828898120599643 88.3882658756165 0 0
"JAJHLMMC_01863" 3585.30777126632 7.37824747177181 0.253896304542289 29.0600821665086 1.14765065008558e-185 1.22165432993593e-184
"JAJHLMMC_02817" 3682.38538219831 7.43431399136184 0.13951224198601 53.2878970729129 0 0
"JAJHLMMC_02820" 3116.05326306949 7.48831746484726 0.155610096783773 48.1223109529492 0 0
"JAJHLMMC_03047" 14083.450773988 7.7559057781183 0.100430051513771 77.2269421474386 0 0
"JAJHLMMC_03103" 7599.60482553945 8.16862411434157 0.219295923380021 37.2493204088708 1.0867626619378e-303 1.9969263913107e-302
"JAJHLMMC_03101" 38125.4669359514 8.25093352297586 0.286468790317043 28.8022074371324 2.01267579603381e-182 2.1133095858355e-181
"JAJHLMMC_03102" 32288.4673493255 8.34009629232749 0.295228869324161 28.249596021621 1.43969876744709e-175 1.43366132100296e-174
"JAJHLMMC_03104" 22593.8779376168 8.40626438718561 0.243853937304987 34.472539094876 2.06959767274526e-260 3.1944240078823e-259
"JAJHLMMC_03105" 24662.4780435227 8.77448231687645 0.329009806885488 26.669364053122 1.06724131077246e-156 9.49444935548875e-156
"JAJHLMMC_03106" 54646.8126941081 8.91087781273925 0.44129739521508 20.1924550413361 1.14053788928302e-90 6.61812117333963e-90
"JAJHLMMC_03109" 18448.3103581798 9.00697801422614 0.384468310915732 23.4271011641329 2.26316226135102e-121 1.6438545648919e-120
"JAJHLMMC_03107" 15394.6844762619 9.13850761424218 0.501018784049797 18.2398502913892 2.49139776126297e-74 1.26288093415744e-73
"JAJHLMMC_03108" 3589.08120622904 9.39291017474452 0.255318651554489 36.7889698522082 2.77127972397799e-296 4.7792963731397e-295
